lag,autocorrelation
239,0.004850942809978509
240,0.0077539223762057505
241,0.011825057611708595
242,0.016964471176504296
243,0.023018060617990378
244,0.029563391942554047
245,0.036633752839279325
246,0.04426993706853392
247,0.05201083244315761
248,0.05961927785736415
249,0.06684710612895939
250,0.07367599222396522
251,0.0796163336464945
252,0.0842262986895568
253,0.08757896070259856
254,0.08952736489963176
255,0.09001287285788112
256,0.0890317362036543
257,0.0866238811943932
258,0.08286647747530666
259,0.07787104632863648
260,0.07178850652989383
261,0.06479619381475622
262,0.0571028975008094
263,0.048922843720515516
264,0.040493421182630406
265,0.03204037636236303
266,0.023809236206932025
267,0.016047590749594824
268,0.009005392095970321
269,0.002887454355787088
270,-0.00212045289314531
271,-0.005884443292500755
272,-0.008302556862589147
273,-0.009327807558489243
274,-0.00895261733160431
275,-0.007221000697221987
276,-0.004198141879327204
277,1.630677733838022e-05
278,0.005306002924303716
279,0.011505462420784422
280,0.01845113080593578
281,0.025930773054758053
282,0.03373816689180051
283,0.04163653160940987
284,0.04940232842753542
285,0.05678352217839438
286,0.06356440382984953
287,0.06952736857465967
288,0.07450702992450811
289,0.07836180451662231
290,0.08099951109699854
291,0.08235315547267792
292,0.08240748219114327
293,0.08118366508681878
294,0.07874051694779537
295,0.07515507620429726
296,0.0705659973885054
297,0.06511417669424323
298,0.05897427708315351
299,0.052339266711073175
300,0.045418857194136526
301,0.03843407648863157
302,0.031631763820557816
303,0.02523672731858802
304,0.019481766188773255
305,0.01456412637756311
306,0.010650021833424485
307,0.007574373540404593
308,0.0056161287151762634
309,0.004802491077517246
310,0.00512479417795819
311,0.006771956354301025
312,0.009440148018272239
313,0.012979164751659573
314,0.017230301154690656
315,0.022242830926541318
316,0.027526985947429333
317,0.03284810015168771
318,0.037967508851274395
319,0.04243722787597556
320,0.0463659828612222
321,0.049591882086464464
322,0.05199041482974525
323,0.05372704327712115
324,0.05454748190990325
325,0.054184010336810584
326,0.052883041005098864
327,0.050726787157995945
328,0.04783323358585691
329,0.044347558120245587
330,0.040450058771162735
